timestamp,frame,right_hip_angle,right_knee_angle,right_ankle_angle,left_hip_angle,left_knee_angle,left_ankle_angle
2025-10-06 19:14:42.552,1,,,,,,
2025-10-06 19:14:42.723,2,,,,,,
2025-10-06 19:14:42.793,3,,,,,,
2025-10-06 19:14:42.861,4,,,,,,
2025-10-06 19:14:42.926,5,,,,,,
2025-10-06 19:14:42.992,6,,,,,,
2025-10-06 19:14:43.056,7,,,,,,
2025-10-06 19:14:43.118,8,,,,,,
2025-10-06 19:14:43.181,9,,,,,,
2025-10-06 19:14:43.246,10,,,,,,
2025-10-06 19:14:43.313,11,,,,,,
2025-10-06 19:14:43.377,12,,,,,,
2025-10-06 19:14:43.445,13,,,,,,
2025-10-06 19:14:43.509,14,,,,,,
2025-10-06 19:14:43.575,15,,,,,,
2025-10-06 19:14:43.640,16,,,,,,
2025-10-06 19:14:43.703,17,,,,,,
2025-10-06 19:14:43.767,18,,,,,,
2025-10-06 19:14:43.833,19,,,,,,
2025-10-06 19:14:43.886,20,,,,,,
2025-10-06 19:14:43.941,21,,,,,,
2025-10-06 19:14:44.053,22,,,,,,
2025-10-06 19:14:44.113,23,,,,,,
2025-10-06 19:14:44.175,24,,,,,,
2025-10-06 19:14:44.239,25,,,,,,
2025-10-06 19:14:44.301,26,,,,,,
2025-10-06 19:14:44.365,27,,,,,,
2025-10-06 19:14:44.430,28,,,,,,
2025-10-06 19:14:44.495,29,,,,,,
2025-10-06 19:14:44.560,30,,,,,,
2025-10-06 19:14:44.629,31,,,,,,
2025-10-06 19:14:44.704,32,,,,,,
2025-10-06 19:14:44.768,33,,,,,,
2025-10-06 19:14:44.840,34,,,,,,
2025-10-06 19:14:44.906,35,,,,,,
2025-10-06 19:14:44.973,36,,,,,,
2025-10-06 19:14:45.037,37,,,,,,
2025-10-06 19:14:45.102,38,,,,,,
2025-10-06 19:14:45.166,39,,,,,,
2025-10-06 19:14:45.229,40,,,,,,
2025-10-06 19:14:45.293,41,,,,,,
2025-10-06 19:14:45.358,42,,,,,,
2025-10-06 19:14:45.421,43,,,,,,
2025-10-06 19:14:45.486,44,,,,,,
2025-10-06 19:14:45.549,45,,,,,,
2025-10-06 19:14:45.627,46,,,,,,
2025-10-06 19:14:45.691,47,,,,,,
2025-10-06 19:14:45.754,48,,,,,,
2025-10-06 19:14:45.828,49,,,,,,
2025-10-06 19:14:45.898,50,,,,,,
2025-10-06 19:14:45.960,51,,,,,,
2025-10-06 19:14:46.025,52,,,,,,
2025-10-06 19:14:46.087,53,,,,,,
2025-10-06 19:14:46.162,54,,,,,,
2025-10-06 19:14:46.223,55,,,,,,
2025-10-06 19:14:46.287,56,,,,,,
2025-10-06 19:14:46.348,57,,,,,,
2025-10-06 19:14:46.413,58,,,,,,
2025-10-06 19:14:46.476,59,,,,,,
2025-10-06 19:14:46.540,60,,,,,,
2025-10-06 19:14:46.604,61,,,,,,
2025-10-06 19:14:46.668,62,,,,,,
2025-10-06 19:14:46.735,63,,,,,,
2025-10-06 19:14:46.799,64,,,,,,
2025-10-06 19:14:46.872,65,,,,,,
2025-10-06 19:14:46.934,66,,,,,,
2025-10-06 19:14:46.996,67,,,,,,
2025-10-06 19:14:47.059,68,,,,,,
2025-10-06 19:14:47.114,69,,,,,,
2025-10-06 19:14:47.168,70,,,,,,
2025-10-06 19:14:47.221,71,,,,,,
2025-10-06 19:14:47.275,72,,,,,,
2025-10-06 19:14:47.329,73,,,,,,
2025-10-06 19:14:47.384,74,,,,,,
2025-10-06 19:14:47.440,75,,,,,,
2025-10-06 19:14:47.492,76,,,,,,
2025-10-06 19:14:47.549,77,,,,,,
2025-10-06 19:14:47.602,78,,,,,,
2025-10-06 19:14:47.655,79,,,,,,
2025-10-06 19:14:47.711,80,,,,,,
2025-10-06 19:14:47.766,81,,,,,,
2025-10-06 19:14:47.822,82,,,,,,
2025-10-06 19:14:47.877,83,,,,,,
2025-10-06 19:14:47.930,84,,,,,,
2025-10-06 19:14:47.984,85,,,,,,
2025-10-06 19:14:48.094,86,,,,,,
2025-10-06 19:14:48.147,87,,,,,,
2025-10-06 19:14:48.215,88,,,,,,
2025-10-06 19:14:48.271,89,,,,,,
2025-10-06 19:14:48.324,90,,,,,,
2025-10-06 19:14:48.378,91,,,,,,
2025-10-06 19:14:48.488,92,,,,,,
2025-10-06 19:14:48.596,93,,,,,,
2025-10-06 19:14:48.659,94,,,,,,
2025-10-06 19:14:48.713,95,,,,,,
2025-10-06 19:14:48.765,96,,,,,,
2025-10-06 19:14:48.822,97,,,,,,
2025-10-06 19:14:48.877,98,,,,,,
2025-10-06 19:14:48.930,99,,,,,,
2025-10-06 19:14:48.984,100,,,,,,
2025-10-06 19:14:49.093,101,,,,,,
2025-10-06 19:14:49.163,102,,,,,,
2025-10-06 19:14:49.232,103,,,,,,
2025-10-06 19:14:49.294,104,,,,,,
2025-10-06 19:14:49.357,105,,,,,,
2025-10-06 19:14:49.417,106,,,,,,
2025-10-06 19:14:49.477,107,,,,,,
2025-10-06 19:14:49.544,108,,,,,,
2025-10-06 19:14:49.605,109,,,,,,
2025-10-06 19:14:49.668,110,,,,,,
2025-10-06 19:14:49.780,111,,,,,,
2025-10-06 19:14:49.842,112,,,,,,
2025-10-06 19:14:49.902,113,,,,,,
2025-10-06 19:14:50.012,114,,,,,,
2025-10-06 19:14:50.072,115,,,,,,
2025-10-06 19:14:50.141,116,,,,,,
2025-10-06 19:14:50.205,117,,,,,,
2025-10-06 19:14:50.315,118,,,,,,
2025-10-06 19:14:50.425,119,,,,,,
